epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
1,108,82,4,5,4,5,108,82,0.56281407,0.490841737,0.084210526,0.686713332
2,58,50,52,39,52,39,58,50,0.552763819,0.58944815,0.538860104,0.682892797
3,93,55,38,13,38,13,93,55,0.658291457,0.746094543,0.527777778,0.649649857
4,92,45,43,19,43,19,92,45,0.67839196,0.683763309,0.573333333,0.643349178
5,73,47,52,27,52,27,73,47,0.628140704,0.686969697,0.584269663,0.641463532
6,92,55,37,15,37,15,92,55,0.648241206,0.721353108,0.513888889,0.624444375
7,71,35,65,28,65,28,71,35,0.683417085,0.747676768,0.67357513,0.616751345
8,87,37,52,23,52,23,87,37,0.698492462,0.750255363,0.634146341,0.594355416
9,79,37,63,20,63,20,79,37,0.713567839,0.801212121,0.68852459,0.566367956
10,87,35,59,18,59,18,87,35,0.733668342,0.824214792,0.69005848,0.545571762
11,90,37,55,17,55,17,90,37,0.728643216,0.809427062,0.670731707,0.536545248
12,88,37,56,18,56,18,88,37,0.72361809,0.781700142,0.670658683,0.566777347
13,91,37,55,16,55,16,91,37,0.733668342,0.836651768,0.674846626,0.534236196
14,88,30,60,21,60,21,88,30,0.743718593,0.843527013,0.701754386,0.522242476
15,81,30,69,19,69,19,81,30,0.753768844,0.858787879,0.737967914,0.500820649
16,85,28,73,13,73,13,85,28,0.793969849,0.868963427,0.780748663,0.495249882
17,74,26,80,19,80,19,74,26,0.773869347,0.854534388,0.780487805,0.501954731
18,75,24,80,20,80,20,75,24,0.778894472,0.852024291,0.784313725,0.49485641
19,94,26,68,11,68,11,94,26,0.814070352,0.865045593,0.786127168,0.483087513
20,89,22,77,11,77,11,89,22,0.834170854,0.906060606,0.823529412,0.431884662
21,89,25,67,18,67,18,89,25,0.783919598,0.868244616,0.757062147,0.483565944
22,94,22,72,11,72,11,94,22,0.834170854,0.915400203,0.813559322,0.42079193
23,70,14,90,25,90,25,70,14,0.804020101,0.905465587,0.821917808,0.423558143
24,93,17,79,10,79,10,93,17,0.864321608,0.932038835,0.854054054,0.388795729
25,87,21,80,11,80,11,87,21,0.83919598,0.936653869,0.833333333,0.386249063
26,77,16,91,15,91,15,77,16,0.844221106,0.931125559,0.854460094,0.388493597
27,82,10,94,13,94,13,82,10,0.884422111,0.959817814,0.890995261,0.341274431
28,67,5,109,18,109,18,67,5,0.884422111,0.950154799,0.904564315,0.352703224
29,77,18,90,14,90,14,77,18,0.83919598,0.922568173,0.849056604,0.387228268
30,103,13,67,16,67,16,103,13,0.854271357,0.939495798,0.82208589,0.359420837
31,93,17,77,12,77,12,93,17,0.854271357,0.945491388,0.841530055,0.346675984
32,89,15,82,13,82,13,89,15,0.859296482,0.92844148,0.854166667,0.368585038
33,92,12,85,10,85,10,92,12,0.889447236,0.951890034,0.885416667,0.344527317
34,90,8,91,10,91,10,90,8,0.909547739,0.965454545,0.91,0.31647514
35,97,11,81,10,81,10,97,11,0.894472362,0.956928078,0.885245902,0.313180556
36,101,13,76,9,76,9,101,13,0.889447236,0.955975485,0.873563218,0.309440109
37,84,13,88,14,88,14,84,13,0.864321608,0.957769246,0.866995074,0.317254068
38,105,9,76,9,76,9,105,9,0.909547739,0.96006192,0.894117647,0.30253557
39,93,13,85,8,85,8,93,13,0.894472362,0.971408365,0.890052356,0.279576494
40,83,6,101,9,101,9,83,6,0.924623116,0.975416497,0.930875576,0.249149573
41,105,2,89,3,89,3,105,2,0.974874372,0.995624746,0.972677596,0.194431805
42,101,10,78,10,78,10,101,10,0.899497487,0.973484848,0.886363636,0.24778805
43,75,10,104,10,104,10,75,10,0.899497487,0.955624355,0.912280702,0.288054539
44,103,9,80,7,80,7,103,9,0.91959799,0.96578141,0.909090909,0.265715978
45,106,10,78,5,78,5,106,10,0.924623116,0.972461097,0.912280702,0.250013352
46,86,5,104,4,104,4,86,5,0.954773869,0.988481142,0.958525346,0.1961768
47,85,5,100,9,100,9,85,5,0.929648241,0.978216819,0.934579439,0.228381666
48,104,8,82,5,82,5,104,8,0.934673367,0.987971458,0.926553672,0.19420115
49,100,2,93,4,93,4,100,2,0.969849246,0.9951417,0.96875,0.168788415
50,80,5,108,6,108,6,80,5,0.944723618,0.989606915,0.95154185,0.181918951
51,103,6,84,6,84,6,103,6,0.939698492,0.984097859,0.933333333,0.200677379
52,81,7,107,4,107,4,81,7,0.944723618,0.986480908,0.951111111,0.176721828
53,87,6,97,9,97,9,87,6,0.924623116,0.983211974,0.928229665,0.20616857
54,98,6,90,5,90,5,98,6,0.944723618,0.991403722,0.942408377,0.164919739
55,75,3,113,8,113,8,75,3,0.944723618,0.99221022,0.953586498,0.174518907
56,97,3,95,4,95,4,97,3,0.964824121,0.995756719,0.964467005,0.143814782
57,89,2,104,4,104,4,89,2,0.969849246,0.997362548,0.971962617,0.134079441
58,96,1,98,4,98,4,96,1,0.974874372,0.986363636,0.975124378,0.165884807
59,98,3,96,2,96,2,98,3,0.974874372,0.999090909,0.974619289,0.100405725
60,88,5,100,6,100,6,88,5,0.944723618,0.992806484,0.947867299,0.147911766
61,97,6,93,3,93,3,97,6,0.954773869,0.995151515,0.953846154,0.134721561
62,96,2,97,4,97,4,96,2,0.969849246,0.996565657,0.97,0.131291799
63,90,2,104,3,104,3,90,2,0.974874372,0.99543518,0.976525822,0.133732728
64,98,1,99,1,99,1,98,1,0.989949749,0.998484848,0.99,0.095712072
65,101,2,93,3,93,3,101,2,0.974874372,0.998684211,0.97382199,0.096784374
66,100,3,94,2,94,2,100,3,0.974874372,0.998281787,0.974093264,0.091158415
67,101,1,94,3,94,3,101,1,0.979899497,0.997469636,0.979166667,0.096052785
68,101,5,91,2,91,2,101,5,0.964824121,0.993122977,0.962962963,0.121145922
69,109,3,87,0,87,0,109,3,0.984924623,0.996228338,0.983050847,0.10031608
70,102,3,91,3,91,3,102,3,0.969849246,0.996656535,0.968085106,0.108919911
71,94,1,104,0,104,0,94,1,0.994974874,0.996352584,0.995215311,0.070638367
72,97,2,99,1,99,1,97,2,0.984924623,0.998888664,0.985074627,0.073541181
73,85,1,111,2,111,2,85,1,0.984924623,0.998973727,0.986666667,0.075650437
74,94,0,105,0,105,0,94,0,1,1,1,0.045822167
75,90,1,107,1,107,1,90,1,0.989949749,0.999389499,0.990740741,0.06678001
76,95,5,96,3,96,3,95,5,0.959798995,0.99201859,0.96,0.120569521
77,97,0,101,1,101,1,97,0,0.994974874,1,0.995073892,0.048409152
78,104,0,94,1,94,1,104,0,0.994974874,1,0.994708995,0.047067751
79,90,2,103,4,103,4,90,2,0.969849246,0.995035461,0.971698113,0.103102047
80,94,1,103,1,103,1,94,1,0.989949749,0.999797571,0.990384615,0.056126132
81,93,2,101,3,101,3,93,2,0.974874372,0.99888754,0.975845411,0.066211724
