epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,40,10,0,0,0,0,40,10,0.8,0.4825,0,0.611871318
3,40,10,0,0,0,0,40,10,0.8,0.5425,0,0.623796241
4,40,10,0,0,0,0,40,10,0.8,0.5625,0,0.626219547
5,39,10,0,1,0,1,39,10,0.78,0.62,0,0.625044889
6,38,9,1,2,1,2,38,9,0.78,0.6375,0.153846154,0.624706705
7,38,9,1,2,1,2,38,9,0.78,0.705,0.153846154,0.620121252
8,38,9,1,2,1,2,38,9,0.78,0.7175,0.153846154,0.617519519
9,37,8,2,3,2,3,37,8,0.78,0.72,0.266666667,0.614240082
10,36,7,3,4,3,4,36,7,0.78,0.7275,0.352941176,0.61288788
11,35,7,3,5,3,5,35,7,0.76,0.7325,0.333333333,0.611418531
12,34,7,3,6,3,6,34,7,0.74,0.7375,0.315789474,0.607842947
13,32,7,3,8,3,8,32,7,0.7,0.7275,0.285714286,0.60435808
14,31,6,4,9,4,9,31,6,0.7,0.725,0.347826087,0.601239332
15,31,6,4,9,4,9,31,6,0.7,0.725,0.347826087,0.598611103
16,31,6,4,9,4,9,31,6,0.7,0.7225,0.347826087,0.596002668
17,31,6,4,9,4,9,31,6,0.7,0.7175,0.347826087,0.595106426
18,31,6,4,9,4,9,31,6,0.7,0.7125,0.347826087,0.593335814
19,31,7,3,9,3,9,31,7,0.68,0.71,0.272727273,0.590657
20,31,7,3,9,3,9,31,7,0.68,0.71,0.272727273,0.58908619
21,31,7,3,9,3,9,31,7,0.68,0.71,0.272727273,0.587120684
22,31,7,3,9,3,9,31,7,0.68,0.7125,0.272727273,0.585310626
23,31,7,3,9,3,9,31,7,0.68,0.7125,0.272727273,0.583577707
24,32,7,3,8,3,8,32,7,0.7,0.7175,0.285714286,0.582079423
25,32,7,3,8,3,8,32,7,0.7,0.72,0.285714286,0.579892668
26,32,7,3,8,3,8,32,7,0.7,0.7225,0.285714286,0.57779583
27,32,7,3,8,3,8,32,7,0.7,0.72,0.285714286,0.577016887
28,32,7,3,8,3,8,32,7,0.7,0.72,0.285714286,0.576480659
29,32,7,3,8,3,8,32,7,0.7,0.72,0.285714286,0.576648759
30,32,7,3,8,3,8,32,7,0.7,0.7225,0.285714286,0.576086748
31,33,7,3,7,3,7,33,7,0.72,0.72,0.3,0.575174885
32,33,7,3,7,3,7,33,7,0.72,0.7175,0.3,0.572984759
33,33,7,3,7,3,7,33,7,0.72,0.7225,0.3,0.571154751
34,33,7,3,7,3,7,33,7,0.72,0.7175,0.3,0.569493631
35,33,7,3,7,3,7,33,7,0.72,0.715,0.3,0.56858071
36,33,7,3,7,3,7,33,7,0.72,0.715,0.3,0.56731252
37,34,7,3,6,3,6,34,7,0.74,0.7125,0.315789474,0.565513075
38,34,7,3,6,3,6,34,7,0.74,0.715,0.315789474,0.565442402
39,34,7,3,6,3,6,34,7,0.74,0.72,0.315789474,0.564168918
40,34,7,3,6,3,6,34,7,0.74,0.72,0.315789474,0.563642153
41,34,7,3,6,3,6,34,7,0.74,0.725,0.315789474,0.563418124
42,34,7,3,6,3,6,34,7,0.74,0.72,0.315789474,0.562302748
43,34,7,3,6,3,6,34,7,0.74,0.7175,0.315789474,0.56116832
44,34,7,3,6,3,6,34,7,0.74,0.71,0.315789474,0.56131211
45,34,7,3,6,3,6,34,7,0.74,0.7025,0.315789474,0.560998571
46,35,7,3,5,3,5,35,7,0.76,0.6975,0.333333333,0.560675442
47,35,7,3,5,3,5,35,7,0.76,0.695,0.333333333,0.560933795
48,35,7,3,5,3,5,35,7,0.76,0.6925,0.333333333,0.561271878
49,35,7,3,5,3,5,35,7,0.76,0.685,0.333333333,0.561390652
50,35,7,3,5,3,5,35,7,0.76,0.6825,0.333333333,0.561938815
51,35,7,3,5,3,5,35,7,0.76,0.6825,0.333333333,0.562695113
52,35,7,3,5,3,5,35,7,0.76,0.6825,0.333333333,0.562677938
53,35,7,3,5,3,5,35,7,0.76,0.6825,0.333333333,0.563023608
54,35,7,3,5,3,5,35,7,0.76,0.685,0.333333333,0.563658498
55,35,7,3,5,3,5,35,7,0.76,0.6875,0.333333333,0.564256379
56,35,7,3,5,3,5,35,7,0.76,0.69,0.333333333,0.564355879
57,35,7,3,5,3,5,35,7,0.76,0.6925,0.333333333,0.564437984
58,35,7,3,5,3,5,35,7,0.76,0.6925,0.333333333,0.564533893
59,35,7,3,5,3,5,35,7,0.76,0.6925,0.333333333,0.564710559
60,35,7,3,5,3,5,35,7,0.76,0.6975,0.333333333,0.565100124
61,35,7,3,5,3,5,35,7,0.76,0.6975,0.333333333,0.565391822
62,35,7,3,5,3,5,35,7,0.76,0.7025,0.333333333,0.565647212
