epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
1,91.0,59.0,32.0,17.0,32.0,17.0,91.0,59.0,0.6180904522613065,0.5566748066748066,0.4571428571428572,0.6834441248196453
2,112.0,67.0,14.0,6.0,14.0,6.0,112.0,67.0,0.6331658291457286,0.6802678384599289,0.2772277227722772,0.6426166263057957
3,91.0,60.0,32.0,16.0,32.0,16.0,91.0,60.0,0.6180904522613065,0.6652783421373425,0.4571428571428571,0.6465574181708859
4,61.0,28.0,74.0,36.0,74.0,36.0,61.0,28.0,0.678391959798995,0.7385284010511421,0.6981132075471698,0.6150524105558444
5,51.0,22.0,88.0,38.0,88.0,38.0,51.0,22.0,0.6984924623115578,0.7240040858018386,0.7457627118644068,0.6050299532599186
6,58.0,24.0,86.0,31.0,86.0,31.0,58.0,24.0,0.7236180904522613,0.7846782431052095,0.7577092511013217,0.5629890463010749
7,66.0,30.0,73.0,30.0,73.0,30.0,66.0,30.0,0.6984924623115578,0.7489886731391586,0.7087378640776699,0.5900539555891076
8,74.0,32.0,69.0,24.0,69.0,24.0,74.0,32.0,0.7185929648241206,0.8018791675085876,0.7113402061855671,0.5569357700159202
9,67.0,27.0,76.0,29.0,76.0,29.0,67.0,27.0,0.7185929648241206,0.8240291262135923,0.7307692307692307,0.5312852985670219
10,82.0,28.0,68.0,21.0,68.0,21.0,82.0,28.0,0.7537688442211056,0.8528519417475728,0.7351351351351351,0.5099638341060236
11,64.0,25.0,80.0,30.0,80.0,30.0,64.0,25.0,0.7236180904522613,0.7868287740628166,0.7441860465116279,0.5542641700100359
12,81.0,24.0,74.0,20.0,74.0,20.0,81.0,24.0,0.7788944723618091,0.8583552232774297,0.7708333333333333,0.5000627030754209
13,64.0,24.0,81.0,30.0,81.0,30.0,64.0,24.0,0.7286432160804021,0.7860182370820669,0.75,0.5646377809757563
14,83.0,22.0,73.0,21.0,73.0,21.0,83.0,22.0,0.7839195979899497,0.8687246963562752,0.7724867724867724,0.48301643973693775
15,74.0,17.0,88.0,20.0,88.0,20.0,74.0,17.0,0.8140703517587939,0.8811550151975684,0.8262910798122066,0.4637721892090599
16,67.0,17.0,91.0,24.0,91.0,24.0,67.0,17.0,0.7939698492462312,0.8542938542938543,0.8161434977578477,0.4847649197707224
17,84.0,25.0,71.0,19.0,71.0,19.0,84.0,25.0,0.7788944723618091,0.8622572815533981,0.7634408602150538,0.4828133349255401
18,90.0,21.0,70.0,18.0,70.0,18.0,90.0,21.0,0.8040201005025126,0.8753561253561253,0.782122905027933,0.4731624151331995
19,88.0,27.0,67.0,17.0,67.0,17.0,88.0,27.0,0.7788944723618091,0.8908814589665653,0.7528089887640449,0.4510059583014879
