epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
1,49,40,54,56,54,56,49,40,0.51758794,0.526646403,0.529411765,0.697379827
2,88,43,46,22,46,22,88,43,0.673366834,0.737385087,0.585987261,0.619178758
3,91,44,47,17,47,17,91,44,0.693467337,0.744912495,0.606451613,0.605509892
4,84,30,66,19,66,19,84,30,0.753768844,0.807443366,0.729281768,0.557708382
5,86,33,56,24,56,24,86,33,0.713567839,0.779060266,0.662721893,0.567492092
6,84,28,69,18,69,18,84,28,0.768844221,0.847079038,0.75,0.515512613
7,81,33,64,21,64,21,81,33,0.728643216,0.821406913,0.703296703,0.531422922
8,74,29,75,21,75,21,74,29,0.748743719,0.817611336,0.75,0.530798314
9,83,28,68,20,68,20,83,28,0.75879397,0.8177589,0.739130435,0.529440552
10,68,19,84,28,84,28,68,19,0.763819095,0.862156149,0.781395349,0.496759814
11,83,24,78,14,78,14,83,24,0.809045226,0.886496867,0.804123711,0.455894543
12,92,22,68,17,68,17,92,22,0.804020101,0.904281346,0.777142857,0.416582103
13,90,22,69,18,69,18,90,22,0.798994975,0.870573871,0.775280899,0.457786026
14,71,19,85,24,85,24,71,19,0.783919598,0.858603239,0.798122066,0.483458492
15,84,20,79,16,79,16,84,20,0.819095477,0.894646465,0.81443299,0.435738518
16,85,21,72,21,72,21,85,21,0.788944724,0.877054169,0.774193548,0.45434115
17,90,16,78,15,78,15,90,16,0.844221106,0.910435664,0.834224599,0.413430345
18,74,19,89,17,89,17,74,19,0.819095477,0.922873423,0.831775701,0.401680757
19,83,15,87,14,87,14,83,15,0.854271357,0.923084698,0.857142857,0.388769698
20,84,16,79,20,79,20,84,16,0.819095477,0.904352227,0.81443299,0.414769657
21,80,12,89,18,89,18,80,12,0.849246231,0.939886846,0.855769231,0.357658965
22,94,8,82,15,82,15,94,8,0.884422111,0.953618756,0.877005348,0.333639369
23,78,16,92,13,92,13,78,16,0.854271357,0.94953195,0.863849765,0.339284067
24,87,9,86,17,86,17,87,9,0.869346734,0.944534413,0.868686869,0.333110401
25,87,10,84,18,84,18,87,10,0.859296482,0.943363728,0.857142857,0.337060712
26,95,14,77,13,77,13,95,14,0.864321608,0.954415954,0.850828729,0.318805535
27,90,7,95,7,95,7,90,7,0.929648241,0.984030726,0.931372549,0.239130614
28,98,9,82,10,82,10,98,9,0.904522613,0.959096459,0.896174863,0.29887867
29,95,7,87,10,87,10,95,7,0.914572864,0.973454914,0.910994764,0.270001563
30,95,5,88,11,88,11,95,5,0.91959799,0.96429296,0.916666667,0.26498136
31,89,7,92,11,92,11,89,7,0.909547739,0.971515152,0.910891089,0.260733829
32,85,5,100,9,100,9,85,5,0.929648241,0.978824721,0.934579439,0.231915351
33,101,10,82,6,82,6,101,10,0.91959799,0.978362454,0.911111111,0.245321486
34,102,6,82,9,82,9,102,6,0.924623116,0.961302211,0.916201117,0.273823639
35,93,6,89,11,89,11,93,6,0.914572864,0.973582996,0.912820513,0.251208908
36,90,5,92,12,92,12,90,5,0.914572864,0.975945017,0.915422886,0.23644224
37,88,7,95,9,95,9,88,7,0.91959799,0.971902163,0.922330097,0.247663096
38,85,7,99,8,99,8,85,7,0.924623116,0.974538446,0.929577465,0.220459645
39,86,4,99,10,99,10,86,4,0.929648241,0.9740089,0.933962264,0.228150683
40,78,4,106,11,106,11,78,4,0.924623116,0.97752809,0.933920705,0.220721968
41,81,4,106,8,106,8,81,4,0.939698492,0.981307457,0.946428571,0.193273096
42,94,7,87,11,87,11,94,7,0.909547739,0.97254306,0.90625,0.231669269
43,91,2,98,8,98,8,91,2,0.949748744,0.981818182,0.951456311,0.18902287
44,98,5,89,7,89,7,98,5,0.939698492,0.988753799,0.936842105,0.178926256
45,95,5,92,7,92,7,95,5,0.939698492,0.987669295,0.93877551,0.173970768
46,79,3,109,8,109,8,79,3,0.944723618,0.987684729,0.951965066,0.163254993
47,108,4,83,4,83,4,108,4,0.959798995,0.986042693,0.954022989,0.17892377
48,98,3,92,6,92,6,98,3,0.954773869,0.989271255,0.953367876,0.151028274
49,85,4,102,8,102,8,85,4,0.939698492,0.987218503,0.944444444,0.174095213
50,93,4,96,6,96,6,93,4,0.949748744,0.993333333,0.95049505,0.147127663
51,96,3,93,7,93,7,96,3,0.949748744,0.989583333,0.948979592,0.146997823
52,91,6,97,5,97,5,91,6,0.944723618,0.98078479,0.946341463,0.193765154
53,94,2,98,5,98,5,94,2,0.964824121,0.992020202,0.965517241,0.144080046
54,90,3,95,11,95,11,90,3,0.929648241,0.988684583,0.931372549,0.178721753
55,81,5,104,9,104,9,81,5,0.929648241,0.982772681,0.936936937,0.183736386
56,98,3,91,7,91,7,98,3,0.949748744,0.98733536,0.947916667,0.158221358
57,93,4,98,4,98,4,93,4,0.959798995,0.990600364,0.960784314,0.149937099
58,89,7,97,6,97,6,89,7,0.934673367,0.990080972,0.937198068,0.150222194
59,90,5,100,4,100,4,90,5,0.954773869,0.991388045,0.956937799,0.139873429
60,95,2,99,3,99,3,95,2,0.974874372,0.99808042,0.975369458,0.104617149
61,103,0,90,6,90,6,103,0,0.969849246,0.990621814,0.967741935,0.129245078
62,96,4,93,6,93,6,96,4,0.949748744,0.99181322,0.948979592,0.133636656
63,101,1,94,3,94,3,101,1,0.979899497,0.997368421,0.979166667,0.106677808
64,97,2,95,5,95,5,97,2,0.964824121,0.983828583,0.964467005,0.15432732
65,124,1,73,1,73,1,124,1,0.989949749,0.999567568,0.986486486,0.070098212
66,97,1,99,2,99,2,97,1,0.984924623,0.998080808,0.985074627,0.081397576
67,95,2,100,2,100,2,95,2,0.979899497,0.999292501,0.980392157,0.07316189
68,92,1,104,2,104,2,92,1,0.984924623,0.998480243,0.985781991,0.078475876
69,101,2,94,2,94,2,101,2,0.979899497,0.996156958,0.979166667,0.088914154
70,103,1,93,2,93,2,103,1,0.984924623,0.997163121,0.984126984,0.085000427
71,94,1,101,3,101,3,94,1,0.979899497,0.998585001,0.980582524,0.066441582
72,100,2,92,5,92,5,100,2,0.964824121,0.995339412,0.963350785,0.108224849
73,81,4,109,5,109,5,81,4,0.954773869,0.98929821,0.960352423,0.124661965
74,102,4,86,7,86,7,102,4,0.944723618,0.986340469,0.93989071,0.151116684
75,98,1,98,2,98,2,98,1,0.984924623,0.999292929,0.984924623,0.077496089
76,89,1,107,2,107,2,89,1,0.984924623,0.993386243,0.986175115,0.074295417
77,105,5,84,5,84,5,105,5,0.949748744,0.98988764,0.943820225,0.125751967
78,106,1,90,2,90,2,106,1,0.984924623,0.998677249,0.983606557,0.071467619
79,108,0,91,0,91,0,108,0,1,1,1,0.033482785
80,98,2,97,2,97,2,98,2,0.979899497,0.998888889,0.97979798,0.063262213
81,107,2,88,2,88,2,107,2,0.979899497,0.999286442,0.977777778,0.059934663
82,107,1,89,2,89,2,107,1,0.984924623,0.99459735,0.983425414,0.073016005
83,92,0,104,3,104,3,92,0,0.984924623,0.998380567,0.985781991,0.07076227
84,102,2,93,2,93,2,102,2,0.979899497,0.999392713,0.978947368,0.057974147
85,90,4,100,5,100,5,90,4,0.954773869,0.990587045,0.956937799,0.130903476
86,106,2,87,4,87,4,106,2,0.969849246,0.989581205,0.966666667,0.121297199
87,98,3,95,3,95,3,98,3,0.969849246,0.997575268,0.969387755,0.0843091
88,99,2,96,2,96,2,99,2,0.979899497,0.997878359,0.979591837,0.078516527
89,105,1,92,1,92,1,105,1,0.989949749,0.99989856,0.989247312,0.048512429
90,94,0,104,1,104,1,94,0,0.994974874,0.999898785,0.995215311,0.037433508
91,98,2,96,3,96,3,98,2,0.974874372,0.995857749,0.974619289,0.076029753
92,100,1,96,2,96,2,100,1,0.984924623,0.997473216,0.984615385,0.059346838
93,94,1,102,2,102,2,94,1,0.984924623,0.997673948,0.985507246,0.067564017
94,98,2,98,1,98,1,98,2,0.984924623,0.99959596,0.984924623,0.055031103
95,109,1,86,3,86,3,109,1,0.979899497,0.99702381,0.977272727,0.074249347
96,102,0,95,2,95,2,102,0,0.989949749,0.995040486,0.989583333,0.067640358
97,98,1,99,1,99,1,98,1,0.989949749,0.999393939,0.99,0.052209344
98,96,3,96,4,96,4,96,3,0.964824121,0.996363636,0.964824121,0.083834924
99,88,0,109,2,109,2,88,0,0.989949749,0.996024465,0.990909091,0.069667841
100,100,0,98,1,98,1,100,0,0.994974874,1,0.994923858,0.032488493
101,98,5,89,7,89,7,98,5,0.939698492,0.987537994,0.936842105,0.15089759
102,94,0,104,1,104,1,94,0,0.994974874,0.99757085,0.995215311,0.057709081
103,104,0,95,0,95,0,104,0,1,1,1,0.035859778
104,101,0,98,0,98,0,101,0,1,1,1,0.034889813
105,99,0,99,1,99,1,99,0,0.994974874,1,0.994974874,0.026137872
106,97,1,99,2,99,2,97,1,0.984924623,0.998383838,0.985074627,0.059808854
107,99,0,100,0,100,0,99,0,1,1,1,0.026583881
108,104,0,94,1,94,1,104,0,0.994974874,0.999797366,0.994708995,0.031965618
109,98,4,95,2,95,2,98,4,0.969849246,0.997272727,0.969387755,0.082808766
110,93,1,103,2,103,2,93,1,0.984924623,0.999392713,0.985645933,0.042461172
111,103,1,94,1,94,1,103,1,0.989949749,0.999898785,0.989473684,0.031141516
112,91,3,102,3,102,3,91,3,0.969849246,0.998074975,0.971428571,0.065384882
113,90,2,105,2,105,2,90,2,0.979899497,0.999593661,0.981308411,0.044048502
114,95,1,103,0,103,0,95,1,0.994974874,1,0.995169082,0.02816639
115,108,0,91,0,91,0,108,0,1,1,1,0.016629583
116,103,4,89,3,89,3,103,4,0.964824121,0.995942382,0.962162162,0.094188876
117,88,1,107,3,107,3,88,1,0.979899497,0.999084249,0.981651376,0.052080422
118,85,0,114,0,114,0,85,0,1,1,1,0.016828202
119,80,3,112,4,112,4,80,3,0.964824121,0.995548654,0.96969697,0.096123387
120,98,0,99,2,99,2,98,0,0.989949749,0.99979798,0.99,0.040595112
121,86,0,110,3,110,3,86,0,0.984924623,0.99918284,0.986547085,0.045707525
122,93,0,106,0,106,0,93,0,1,1,1,0.020829299
123,108,0,91,0,91,0,108,0,1,1,1,0.016779025
124,90,0,109,0,109,0,90,0,1,1,1,0.015021628
125,104,0,95,0,95,0,104,0,1,1,1,0.008430759
126,110,0,89,0,89,0,110,0,1,1,1,0.018006858
127,103,0,96,0,96,0,103,0,1,1,1,0.015183025
128,103,0,96,0,96,0,103,0,1,1,1,0.00963383
129,99,0,100,0,100,0,99,0,1,1,1,0.009793879
130,108,3,85,3,85,3,108,3,0.969849246,0.996621622,0.965909091,0.087033336
131,87,1,108,3,108,3,87,1,0.979899497,0.999082569,0.981818182,0.057836878
132,95,0,103,1,103,1,95,0,0.994974874,0.999595469,0.995169082,0.039385354
133,97,2,98,2,98,2,97,2,0.979899497,0.99959596,0.98,0.028558802
134,103,1,94,1,94,1,103,1,0.989949749,0.999392713,0.989473684,0.043178136
135,107,3,87,2,87,2,107,3,0.974874372,0.998165138,0.972067039,0.064676823
136,91,0,108,0,108,0,91,0,1,1,1,0.025092111
137,104,0,95,0,95,0,104,0,1,1,1,0.009652689
138,85,0,114,0,114,0,85,0,1,1,1,0.01126966
139,101,0,98,0,98,0,101,0,1,1,1,0.005650273
140,84,5,105,5,105,5,84,5,0.949748744,0.994790603,0.954545455,0.103957085
141,94,0,104,1,104,1,94,0,0.994974874,1,0.995215311,0.020669311
142,111,0,88,0,88,0,111,0,1,1,1,0.006480464
143,96,1,100,2,100,2,96,1,0.984924623,0.999494847,0.985221675,0.037781933
144,100,1,98,0,98,0,100,1,0.994974874,1,0.994923858,0.032693869
145,100,0,99,0,99,0,100,0,1,1,1,0.010747388
146,92,0,107,0,107,0,92,0,1,1,1,0.012451886
147,106,0,93,0,93,0,106,0,1,1,1,0.007499861
148,92,1,106,0,106,0,92,1,0.994974874,1,0.995305164,0.014253639
