epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,11,3,8,28,8,28,11,3,0.38,0.606060606,0.340425532,0.695567215
3,26,7,4,13,4,13,26,7,0.6,0.629370629,0.285714286,0.648690282
4,34,7,4,5,4,5,34,7,0.76,0.655011655,0.4,0.611580111
5,35,10,1,4,1,4,35,10,0.72,0.668997669,0.125,0.588792609
6,36,10,1,3,1,3,36,10,0.74,0.678321678,0.133333333,0.575247402
7,36,11,0,3,0,3,36,11,0.72,0.694638695,0,0.565674193
8,36,11,0,3,0,3,36,11,0.72,0.694638695,0,0.557672589
9,36,10,1,3,1,3,36,10,0.74,0.696969697,0.133333333,0.553941064
10,36,10,1,3,1,3,36,10,0.74,0.68997669,0.133333333,0.54994715
11,36,10,1,3,1,3,36,10,0.74,0.678321678,0.133333333,0.549159163
12,36,10,1,3,1,3,36,10,0.74,0.675990676,0.133333333,0.546693084
13,36,10,1,3,1,3,36,10,0.74,0.664335664,0.133333333,0.545399722
14,36,10,1,3,1,3,36,10,0.74,0.662004662,0.133333333,0.542216848
15,36,10,1,3,1,3,36,10,0.74,0.657342657,0.133333333,0.542466704
16,36,10,1,3,1,3,36,10,0.74,0.657342657,0.133333333,0.542216134
17,36,10,1,3,1,3,36,10,0.74,0.655011655,0.133333333,0.54092707
18,36,10,1,3,1,3,36,10,0.74,0.655011655,0.133333333,0.539578614
19,36,10,1,3,1,3,36,10,0.74,0.65034965,0.133333333,0.538745678
20,36,10,1,3,1,3,36,10,0.74,0.648018648,0.133333333,0.537835722
21,36,10,1,3,1,3,36,10,0.74,0.648018648,0.133333333,0.537238403
22,36,10,1,3,1,3,36,10,0.74,0.648018648,0.133333333,0.53715194
23,36,10,1,3,1,3,36,10,0.74,0.641025641,0.133333333,0.536624118
24,36,10,1,3,1,3,36,10,0.74,0.636363636,0.133333333,0.536419464
25,36,10,1,3,1,3,36,10,0.74,0.636363636,0.133333333,0.535979459
26,36,10,1,3,1,3,36,10,0.74,0.636363636,0.133333333,0.535786009
