epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,11.0,3.0,8.0,28.0,8.0,28.0,11.0,3.0,0.38,0.6060606060606061,0.3404255319148936,0.6955672150850296
3,26.0,7.0,4.0,13.0,4.0,13.0,26.0,7.0,0.6,0.6293706293706294,0.2857142857142857,0.6486902818083763
4,34.0,7.0,4.0,5.0,4.0,5.0,34.0,7.0,0.76,0.655011655011655,0.39999999999999997,0.6115801113843918
5,35.0,10.0,1.0,4.0,1.0,4.0,35.0,10.0,0.72,0.668997668997669,0.12500000000000003,0.5887926091253758
6,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6783216783216783,0.13333333333333333,0.5752474015951157
7,36.0,11.0,0.0,3.0,0.0,3.0,36.0,11.0,0.72,0.6946386946386947,0.0,0.5656741932034492
8,36.0,11.0,0.0,3.0,0.0,3.0,36.0,11.0,0.72,0.6946386946386947,0.0,0.5576725886762142
9,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.696969696969697,0.13333333333333333,0.5539410641789436
10,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6899766899766899,0.13333333333333333,0.5499471497535705
11,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6783216783216783,0.13333333333333333,0.5491591627895832
12,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.675990675990676,0.13333333333333333,0.5466930840909481
13,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6643356643356644,0.13333333333333333,0.5453997223079204
14,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.662004662004662,0.13333333333333333,0.5422168484330178
15,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6573426573426574,0.13333333333333333,0.5424667041003705
16,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6573426573426573,0.13333333333333333,0.5422161339968443
17,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.655011655011655,0.13333333333333333,0.5409270698577165
18,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.655011655011655,0.13333333333333333,0.5395786137878895
19,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6503496503496503,0.13333333333333333,0.5387456778436899
20,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6480186480186481,0.13333333333333333,0.5378357221931219
21,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6480186480186481,0.13333333333333333,0.5372384027391672
22,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.6480186480186481,0.13333333333333333,0.5371519402414561
23,36.0,10.0,1.0,3.0,1.0,3.0,36.0,10.0,0.74,0.641025641025641,0.13333333333333333,0.5366241178661585
