epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
1,43,37,61,58,61,58,43,37,0.522613065,0.557688422,0.562211982,0.693276496
2,80,61,38,20,38,20,80,61,0.592964824,0.633030303,0.484076433,0.66798944
3,85,54,33,27,33,27,85,54,0.592964824,0.551313629,0.448979592,0.677366355
4,74,52,44,29,44,29,74,52,0.592964824,0.641889159,0.520710059,0.659092918
5,100,59,32,8,32,8,100,59,0.663316583,0.662901913,0.488549618,0.63857639
6,76,50,52,21,52,21,76,50,0.64321608,0.672629877,0.594285714,0.6359092
7,75,50,46,28,46,28,75,50,0.608040201,0.648867314,0.541176471,0.661423752
8,59,37,62,41,62,41,59,37,0.608040201,0.657979798,0.613861386,0.656050889
9,102,54,34,9,34,9,102,54,0.683417085,0.776003276,0.519083969,0.606143979
10,85,49,46,19,46,19,85,49,0.658291457,0.726821862,0.575,0.627040354
11,70,42,57,30,57,30,70,42,0.638190955,0.724646465,0.612903226,0.618995102
12,78,42,56,23,56,23,78,42,0.673366834,0.724691857,0.632768362,0.620176632
13,94,52,42,11,42,11,94,52,0.683417085,0.726038501,0.571428571,0.609218138
14,82,38,57,22,57,22,82,38,0.698492462,0.777327935,0.655172414,0.589228417
15,87,53,41,18,41,18,87,53,0.64321608,0.734447822,0.535947712,0.607350985
16,82,41,55,21,55,21,82,41,0.688442211,0.726233819,0.639534884,0.622642189
17,74,33,75,17,75,17,74,33,0.748743719,0.833638584,0.75,0.562737532
18,81,38,59,21,59,21,81,38,0.703517588,0.763391955,0.666666667,0.596559305
19,62,25,80,32,80,32,62,25,0.713567839,0.773961499,0.737327189,0.597494926
20,87,30,64,18,64,18,87,30,0.75879397,0.837386018,0.727272727,0.558959433
21,76,28,79,16,79,16,76,28,0.778894472,0.829642422,0.782178218,0.542383455
22,82,20,79,18,79,18,82,20,0.809045226,0.836565657,0.806122449,0.562715287
23,104,33,53,9,53,9,104,33,0.788944724,0.840913768,0.716216216,0.540470558
24,86,30,69,14,69,14,86,30,0.778894472,0.868787879,0.758241758,0.523800403
25,78,31,68,22,68,22,78,31,0.733668342,0.83030303,0.71957672,0.536503598
26,64,21,87,27,87,27,64,21,0.75879397,0.833028083,0.783783784,0.531743359
27,79,18,81,21,81,21,79,18,0.804020101,0.860808081,0.805970149,0.523092023
28,80,27,75,17,75,17,80,27,0.778894472,0.855164746,0.773195876,0.518885756
29,72,24,86,17,86,17,72,24,0.793969849,0.848927477,0.807511737,0.507403826
30,74,23,82,20,82,20,74,23,0.783919598,0.854508612,0.792270531,0.512353262
31,83,27,71,18,71,18,83,27,0.773869347,0.859163467,0.759358289,0.49330749
32,78,30,74,17,74,17,78,30,0.763819095,0.844433198,0.758974359,0.506446504
33,88,28,68,15,68,15,88,28,0.783919598,0.872269417,0.759776536,0.491741082
34,87,25,71,16,71,16,87,25,0.793969849,0.881877023,0.775956284,0.478606765
35,78,23,80,18,80,18,78,23,0.793969849,0.880764563,0.7960199,0.476738682
36,62,24,93,20,93,20,62,24,0.778894472,0.867834063,0.808695652,0.469729814
37,75,24,78,22,78,22,75,24,0.768844221,0.847483323,0.772277228,0.499345597
38,100,33,56,10,56,10,100,33,0.783919598,0.884780388,0.722580645,0.483793858
39,80,27,75,17,75,17,80,27,0.778894472,0.875075804,0.773195876,0.472978537
40,87,15,82,15,82,15,87,15,0.849246231,0.925914696,0.845360825,0.414467207
41,78,17,87,17,87,17,78,17,0.829145729,0.915587045,0.836538462,0.429783525
42,75,11,100,13,100,13,75,11,0.879396985,0.935503686,0.892857143,0.401220149
43,85,21,78,15,78,15,85,21,0.819095477,0.906262626,0.8125,0.443415617
44,85,17,83,14,83,14,85,17,0.844221106,0.915454545,0.842639594,0.430454344
45,88,18,76,17,76,17,88,18,0.824120603,0.88449848,0.812834225,0.460231956
46,83,16,89,11,89,11,83,16,0.864321608,0.931408308,0.868292683,0.396981364
47,93,14,81,11,81,11,93,14,0.874371859,0.94291498,0.86631016,0.379251106
48,83,12,90,14,90,14,83,12,0.869346734,0.94562361,0.873786408,0.376635768
49,91,13,81,14,81,14,91,13,0.864321608,0.943971631,0.857142857,0.35856289
50,94,16,77,12,77,12,94,16,0.859296482,0.925441266,0.846153846,0.378661833
51,80,19,86,14,86,14,80,19,0.834170854,0.928571429,0.83902439,0.394633937
52,98,16,77,8,77,8,98,16,0.879396985,0.951714344,0.865168539,0.354234682
53,73,15,98,13,98,13,73,15,0.859296482,0.916237909,0.875,0.386168503
54,86,12,91,10,91,10,86,12,0.889447236,0.937702265,0.892156863,0.369892396
55,93,18,75,13,75,13,93,18,0.844221106,0.890850071,0.828729282,0.427884574
56,66,17,99,17,99,17,66,17,0.829145729,0.915143332,0.853448276,0.397090272
57,92,19,79,9,79,9,92,19,0.859296482,0.939583754,0.849462366,0.35549443
58,92,16,82,9,82,9,92,16,0.874371859,0.942311578,0.867724868,0.358894913
59,84,15,85,15,85,15,84,15,0.849246231,0.92959596,0.85,0.387630088
60,102,21,72,4,72,4,102,21,0.874371859,0.961554068,0.852071006,0.338316595
61,78,14,92,15,92,15,78,14,0.854271357,0.925238385,0.863849765,0.383671697
62,95,17,78,9,78,9,95,17,0.869346734,0.9548583,0.857142857,0.323835552
63,94,15,80,10,80,10,94,15,0.874371859,0.955161943,0.864864865,0.349135536
64,88,14,85,12,85,12,88,14,0.869346734,0.94020202,0.867346939,0.348579013
65,102,14,75,8,75,8,102,14,0.889447236,0.955975485,0.872093023,0.322253611
66,76,13,96,14,96,14,76,13,0.864321608,0.949643221,0.876712329,0.336399225
67,87,10,92,10,92,10,87,10,0.899497487,0.962502527,0.901960784,0.309198962
68,90,11,90,8,90,8,90,11,0.904522613,0.959082643,0.904522613,0.313983744
69,90,7,93,9,93,9,90,7,0.91959799,0.973131313,0.920792079,0.283543453
70,102,12,80,5,80,5,102,12,0.914572864,0.972978464,0.903954802,0.27313206
71,80,11,94,14,94,14,80,11,0.874371859,0.960081054,0.882629108,0.305193339
72,92,10,89,8,89,8,92,10,0.909547739,0.966060606,0.908163265,0.300377493
73,91,8,90,10,90,10,91,8,0.909547739,0.969185694,0.909090909,0.296521731
74,85,8,96,10,96,10,85,8,0.909547739,0.969230769,0.914285714,0.293573104
75,86,4,102,7,102,7,86,4,0.944723618,0.9867113,0.948837209,0.242645888
76,85,7,96,11,96,11,85,7,0.909547739,0.980279126,0.914285714,0.251025545
77,93,8,90,8,90,8,93,8,0.91959799,0.969084664,0.918367347,0.268414597
78,86,6,102,5,102,5,86,6,0.944723618,0.976393976,0.948837209,0.241387147
79,91,13,85,10,85,10,91,13,0.884422111,0.951505355,0.880829016,0.309755343
80,89,9,96,5,96,5,89,9,0.929648241,0.980851064,0.932038835,0.24524921
81,77,9,105,8,105,8,77,9,0.914572864,0.973168215,0.925110132,0.247111019
82,90,14,89,6,89,6,90,14,0.899497487,0.968042071,0.898989899,0.269864245
83,96,5,94,4,94,4,96,5,0.954773869,0.99,0.954314721,0.205467072
84,78,9,98,14,98,14,78,9,0.884422111,0.964648517,0.894977169,0.278374789
85,104,5,88,2,88,2,104,5,0.964824121,0.996145263,0.961748634,0.177166751
86,87,7,98,7,98,7,87,7,0.929648241,0.982877406,0.933333333,0.219700494
87,95,7,89,8,89,8,95,7,0.924623116,0.977649676,0.922279793,0.22507615
88,83,11,97,8,97,8,83,11,0.904522613,0.979242979,0.910798122,0.236216231
89,93,8,89,9,89,9,93,8,0.914572864,0.965938953,0.912820513,0.269712248
90,108,8,76,7,76,7,108,8,0.924623116,0.969151139,0.910179641,0.248998636
91,94,9,86,10,86,10,94,9,0.904522613,0.968825911,0.90052356,0.26172774
92,88,5,95,11,95,11,88,5,0.91959799,0.983232323,0.922330097,0.218949603
93,88,9,96,6,96,6,88,9,0.924623116,0.979837893,0.927536232,0.226643232
94,94,4,96,5,96,5,94,4,0.954773869,0.992727273,0.955223881,0.191076926
95,90,7,95,7,95,7,90,7,0.929648241,0.9805943,0.931372549,0.223727713
96,96,4,96,3,96,3,96,4,0.964824121,0.993939394,0.964824121,0.191225808
97,107,5,83,4,83,4,107,5,0.954773869,0.991605242,0.948571429,0.177901534
98,96,6,91,6,91,6,96,6,0.939698492,0.986961795,0.93814433,0.195231653
99,95,7,92,5,92,5,95,7,0.939698492,0.978383838,0.93877551,0.213861657
100,97,11,79,12,79,12,97,11,0.884422111,0.962793068,0.872928177,0.261537958
101,90,7,94,8,94,8,90,7,0.924623116,0.976459891,0.926108374,0.227032014
102,99,3,95,2,95,2,99,3,0.974874372,0.997070115,0.974358974,0.142232664
103,93,6,95,5,95,5,93,6,0.944723618,0.982824813,0.945273632,0.201556811
104,85,5,104,5,104,5,85,5,0.949748744,0.99235474,0.95412844,0.175352002
105,98,5,91,5,91,5,98,5,0.949748744,0.990796926,0.947916667,0.167730417
106,105,3,87,4,87,4,105,3,0.964824121,0.994087666,0.961325967,0.16154177
107,92,2,100,5,100,5,92,2,0.964824121,0.995755003,0.966183575,0.157205624
108,102,2,93,2,93,2,102,2,0.979899497,0.994736842,0.978947368,0.136918189
109,96,2,96,5,96,5,96,2,0.964824121,0.990301071,0.964824121,0.176611769
110,100,4,92,3,92,3,100,4,0.964824121,0.990088997,0.963350785,0.157891112
111,85,7,102,5,102,5,85,7,0.939698492,0.98756371,0.944444444,0.178434103
112,112,3,80,4,80,4,112,3,0.964824121,0.992833403,0.958083832,0.13178295
113,87,6,100,6,100,6,87,6,0.939698492,0.987522824,0.943396226,0.168597837
114,89,1,108,1,108,1,89,1,0.989949749,0.998980632,0.990825688,0.108817575
115,87,2,105,5,105,5,87,2,0.964824121,0.993803332,0.967741935,0.126410639
116,83,4,106,6,106,6,83,4,0.949748744,0.991828396,0.954954955,0.152904157
117,104,5,87,3,87,3,104,5,0.959798995,0.995428688,0.956043956,0.133815347
118,83,6,103,7,103,7,83,6,0.934673367,0.983282365,0.940639269,0.18897397
119,100,3,91,5,91,5,100,3,0.959798995,0.992806484,0.957894737,0.132282085
120,84,6,100,9,100,9,84,6,0.924623116,0.98437817,0.930232558,0.184110601
121,108,1,88,2,88,2,108,1,0.984924623,0.991215526,0.983240223,0.131073624
122,88,4,102,5,102,5,88,4,0.954773869,0.9909718,0.957746479,0.163279124
123,96,4,96,3,96,3,96,4,0.964824121,0.992626263,0.964824121,0.141694791
124,102,3,91,3,91,3,102,3,0.969849246,0.996149949,0.968085106,0.133805126
125,92,4,101,2,101,2,92,4,0.969849246,0.995845998,0.971153846,0.120967727
126,100,3,93,3,93,3,100,3,0.969849246,0.998280744,0.96875,0.093767343
127,108,2,86,3,86,3,108,2,0.974874372,0.996826372,0.971751412,0.110870103
128,94,1,103,1,103,1,94,1,0.989949749,0.997064777,0.990384615,0.091898369
129,96,4,97,2,97,2,96,4,0.969849246,0.991614468,0.97,0.112733086
130,93,4,97,5,97,5,93,4,0.954773869,0.994948474,0.955665025,0.120152551
131,94,3,96,6,96,6,94,3,0.954773869,0.992929293,0.955223881,0.128880601
132,90,2,107,0,107,0,90,2,0.989949749,1,0.990740741,0.073380553
133,100,3,92,4,92,4,100,3,0.964824121,0.996558704,0.963350785,0.114921419
134,87,1,108,3,108,3,87,1,0.979899497,0.995922528,0.981818182,0.104669763
135,96,0,102,1,102,1,96,0,0.994974874,1,0.995121951,0.055128008
136,105,2,86,6,86,6,105,2,0.959798995,0.993345618,0.955555556,0.131811014
137,94,0,104,1,104,1,94,0,0.994974874,0.999190283,0.995215311,0.078982304
138,112,6,78,3,78,3,112,6,0.954773869,0.993995859,0.945454545,0.130927486
139,89,2,105,3,105,3,89,2,0.974874372,0.995733442,0.976744186,0.112530092
140,101,3,89,6,89,6,101,3,0.954773869,0.991162129,0.951871658,0.139764026
141,90,2,103,4,103,4,90,2,0.969849246,0.995845998,0.971698113,0.116856106
142,85,4,105,5,105,5,85,4,0.954773869,0.995616718,0.95890411,0.115372182
143,91,0,105,3,105,3,91,0,0.984924623,0.99929078,0.985915493,0.078272558
144,91,1,106,1,106,1,91,1,0.989949749,0.999288907,0.990654206,0.073947152
145,95,3,99,2,99,2,95,3,0.974874372,0.993026076,0.975369458,0.106602594
146,103,2,92,2,92,2,103,2,0.979899497,0.996656535,0.978723404,0.103351713
147,99,1,97,2,97,2,99,1,0.984924623,0.996868054,0.984771574,0.082269889
148,85,2,108,4,108,4,85,2,0.969849246,0.997854954,0.972972973,0.087384043
149,95,3,96,5,96,5,95,3,0.959798995,0.995959596,0.96,0.117253087
