epoch,class_id,f1,auc,accuracy,precision,recall
1,0,0.0,0.5,0.2,0.0,0.0
1,1,0.33333333333333337,0.5,0.2,0.2,1.0
2,0,0.0,0.5,0.2,0.0,0.0
2,1,0.33333333333333337,0.5,0.2,0.2,1.0
3,0,0.09302325581395349,0.47500000000000003,0.22,0.6666666666666666,0.05
3,1,0.3157894736842105,0.47500000000000003,0.22,0.19148936170212766,0.9
4,0,0.13636363636363635,0.4875,0.24,0.75,0.075
4,1,0.3214285714285714,0.48749999999999993,0.24,0.1956521739130435,0.9
1,0,0.634920634920635,0.5999999999999999,0.54,0.8695652173913043,0.5
1,1,0.37837837837837834,0.6,0.54,0.25925925925925924,0.7
5,0,0.5263157894736842,0.5875,0.46,0.8823529411764706,0.375
5,1,0.372093023255814,0.5875,0.46,0.24242424242424243,0.8
2,0,0.6562500000000001,0.6124999999999999,0.56,0.875,0.525
2,1,0.3888888888888889,0.6124999999999999,0.56,0.2692307692307692,0.7
6,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
6,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
3,0,0.6451612903225806,0.6500000000000001,0.56,0.9090909090909091,0.5
3,1,0.4210526315789473,0.65,0.56,0.2857142857142857,0.8
7,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
7,1,0.4,0.625,0.7,0.3333333333333333,0.5
4,0,0.7076923076923077,0.6875,0.62,0.92,0.575
4,1,0.45714285714285713,0.6875,0.62,0.32,0.8
8,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
8,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
5,0,0.6774193548387099,0.7125,0.6,0.9545454545454546,0.525
5,1,0.4736842105263158,0.7124999999999999,0.6,0.32142857142857145,0.9
9,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
9,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
6,0,0.7777777777777777,0.65,0.68,0.875,0.7
6,1,0.42857142857142855,0.6499999999999999,0.68,0.3333333333333333,0.6
10,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
10,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
7,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
7,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
11,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
11,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
8,0,0.8536585365853658,0.5875,0.76,0.8333333333333334,0.875
8,1,0.33333333333333326,0.5875,0.76,0.375,0.3
12,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
12,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
9,0,0.8536585365853658,0.5875,0.76,0.8333333333333334,0.875
9,1,0.33333333333333326,0.5875,0.76,0.375,0.3
13,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
13,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
10,0,0.8433734939759036,0.5375,0.74,0.813953488372093,0.875
10,1,0.23529411764705882,0.5375,0.74,0.2857142857142857,0.2
14,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
14,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
11,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
11,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
15,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
15,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
12,0,0.8311688311688312,0.65,0.74,0.8648648648648649,0.8
12,1,0.4347826086956522,0.6500000000000001,0.74,0.38461538461538464,0.5
16,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
16,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
13,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
