epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,20,3,7,20,7,20,20,3,0.54,0.565,0.378378378,0.711044111
3,28,7,3,12,3,12,28,7,0.62,0.59,0.24,0.683885803
4,32,7,3,8,3,8,32,7,0.7,0.6,0.285714286,0.667262129
5,32,7,3,8,3,8,32,7,0.7,0.595,0.285714286,0.653129767
6,33,7,3,7,3,7,33,7,0.72,0.595,0.3,0.644607145
7,33,7,3,7,3,7,33,7,0.72,0.6125,0.3,0.642548507
8,33,7,3,7,3,7,33,7,0.72,0.6175,0.3,0.638811165
9,34,7,3,6,3,6,34,7,0.74,0.6225,0.315789474,0.636436402
10,35,7,3,5,3,5,35,7,0.76,0.635,0.333333333,0.630609238
11,34,7,3,6,3,6,34,7,0.74,0.64,0.315789474,0.626808378
12,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.626455467
13,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.627102142
14,34,7,3,6,3,6,34,7,0.74,0.6575,0.315789474,0.623878654
15,34,7,3,6,3,6,34,7,0.74,0.66,0.315789474,0.624771821
16,34,7,3,6,3,6,34,7,0.74,0.665,0.315789474,0.623113523
17,34,8,2,6,2,6,34,8,0.72,0.665,0.222222222,0.622430047
18,34,8,2,6,2,6,34,8,0.72,0.67,0.222222222,0.621851131
19,35,8,2,5,2,5,35,8,0.74,0.6775,0.235294118,0.620152246
20,35,9,1,5,1,5,35,9,0.72,0.6775,0.125,0.620103023
21,35,9,1,5,1,5,35,9,0.72,0.68,0.125,0.619325681
22,35,9,1,5,1,5,35,9,0.72,0.675,0.125,0.620344447
23,35,9,1,5,1,5,35,9,0.72,0.65,0.125,0.620292754
24,35,9,1,5,1,5,35,9,0.72,0.6525,0.125,0.618855562
25,35,8,2,5,2,5,35,8,0.74,0.6375,0.235294118,0.618400558
26,35,8,2,5,2,5,35,8,0.74,0.635,0.235294118,0.618031947
27,35,8,2,5,2,5,35,8,0.74,0.645,0.235294118,0.618755062
28,36,8,2,4,2,4,36,8,0.76,0.6425,0.25,0.618801871
29,36,8,2,4,2,4,36,8,0.76,0.6475,0.25,0.618059495
30,36,8,2,4,2,4,36,8,0.76,0.6525,0.25,0.618078871
31,35,8,2,5,2,5,35,8,0.74,0.6475,0.235294118,0.618430567
32,35,8,2,5,2,5,35,8,0.74,0.655,0.235294118,0.617263463
33,35,7,3,5,3,5,35,7,0.76,0.6525,0.333333333,0.617292597
34,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.616924617
35,34,7,3,6,3,6,34,7,0.74,0.65,0.315789474,0.617241841
36,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.616503463
37,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.618011791
38,34,7,3,6,3,6,34,7,0.74,0.6475,0.315789474,0.618991305
39,34,7,3,6,3,6,34,7,0.74,0.6525,0.315789474,0.618413808
40,34,7,3,6,3,6,34,7,0.74,0.645,0.315789474,0.618408653
41,34,7,3,6,3,6,34,7,0.74,0.645,0.315789474,0.618481578
42,35,7,3,5,3,5,35,7,0.76,0.6475,0.333333333,0.618041698
43,35,7,3,5,3,5,35,7,0.76,0.645,0.333333333,0.618929294
44,35,7,3,5,3,5,35,7,0.76,0.6475,0.333333333,0.617879543
45,35,7,3,5,3,5,35,7,0.76,0.6425,0.333333333,0.617542282
46,35,7,3,5,3,5,35,7,0.76,0.6425,0.333333333,0.616181783
47,35,7,3,5,3,5,35,7,0.76,0.6425,0.333333333,0.614846872
48,35,7,3,5,3,5,35,7,0.76,0.6375,0.333333333,0.614426417
49,35,7,3,5,3,5,35,7,0.76,0.64,0.333333333,0.613810123
50,35,7,3,5,3,5,35,7,0.76,0.6375,0.333333333,0.612069634
51,36,7,3,4,3,4,36,7,0.78,0.6375,0.352941176,0.611359214
52,36,7,3,4,3,4,36,7,0.78,0.635,0.352941176,0.612588328
53,36,6,4,4,4,4,36,6,0.8,0.64,0.444444444,0.612498478
54,36,6,4,4,4,4,36,6,0.8,0.6375,0.444444444,0.613403778
55,36,6,4,4,4,4,36,6,0.8,0.635,0.444444444,0.61405081
56,34,6,4,6,4,6,34,6,0.76,0.635,0.4,0.613500986
57,33,6,4,7,4,7,33,6,0.74,0.635,0.380952381,0.613853413
58,33,6,4,7,4,7,33,6,0.74,0.6325,0.380952381,0.613676147
59,34,6,4,6,4,6,34,6,0.76,0.6375,0.4,0.612402858
60,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.612012342
61,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.611469378
62,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.610654111
63,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.610232229
64,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.608909569
65,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.60781706
66,33,5,5,7,5,7,33,5,0.76,0.635,0.454545455,0.607046
67,33,5,5,7,5,7,33,5,0.76,0.6325,0.454545455,0.607142959
68,33,5,5,7,5,7,33,5,0.76,0.635,0.454545455,0.606278884
69,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.606050593
70,33,5,5,7,5,7,33,5,0.76,0.64,0.454545455,0.606166255
71,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.605914636
72,33,5,5,7,5,7,33,5,0.76,0.6375,0.454545455,0.605710439
73,33,5,5,7,5,7,33,5,0.76,0.635,0.454545455,0.604649736
74,33,5,5,7,5,7,33,5,0.76,0.6325,0.454545455,0.60481997
75,33,5,5,7,5,7,33,5,0.76,0.6325,0.454545455,0.604294011
76,33,4,6,7,6,7,33,4,0.78,0.63,0.52173913,0.603255742
