epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
1,62,43,51,43,51,43,62,43,0.567839196,0.542097264,0.542553191,0.697621428
2,57,44,56,42,56,42,57,44,0.567839196,0.614242424,0.565656566,0.670798842
3,75,42,55,27,55,27,75,42,0.653266332,0.702749141,0.61452514,0.650530569
4,59,30,73,37,73,37,59,30,0.663316583,0.735436893,0.685446009,0.625803105
5,67,29,74,29,74,29,67,29,0.708542714,0.758596278,0.718446602,0.602977575
6,88,27,67,17,67,17,88,27,0.778894472,0.827051672,0.752808989,0.555008322
7,67,20,85,27,85,27,67,20,0.763819095,0.832725431,0.783410138,0.530593321
8,79,25,68,27,68,27,79,25,0.738693467,0.827449787,0.723404255,0.518130461
9,70,25,83,21,83,21,70,25,0.768844221,0.818783069,0.783018868,0.530839652
10,78,25,72,24,72,24,78,25,0.753768844,0.816959774,0.74611399,0.532715995
11,68,21,82,28,82,28,68,21,0.753768844,0.862661812,0.769953052,0.481762972
12,79,25,75,20,75,20,79,25,0.773869347,0.870808081,0.769230769,0.473850531
13,69,27,79,24,79,24,69,27,0.743718593,0.835362142,0.755980861,0.507051641
14,66,20,84,29,84,29,66,20,0.753768844,0.818825911,0.774193548,0.525567997
15,81,21,75,22,75,22,81,21,0.783919598,0.858009709,0.777202073,0.485427479
16,80,26,72,21,72,21,80,26,0.763819095,0.841685189,0.753926702,0.503019685
17,77,22,81,19,81,19,77,22,0.793969849,0.876820388,0.798029557,0.465760065
18,74,26,77,22,77,22,74,26,0.75879397,0.866403722,0.762376238,0.472169153
19,76,18,89,16,89,16,76,18,0.829145729,0.914973588,0.839622642,0.412673906
20,84,21,77,17,77,17,84,21,0.809045226,0.894221055,0.802083333,0.430401909
21,77,21,78,23,78,23,77,21,0.778894472,0.86030303,0.78,0.480926417
22,82,22,78,17,78,17,82,22,0.804020101,0.902121212,0.8,0.433187044
23,68,18,91,22,91,22,68,18,0.798994975,0.915698267,0.81981982,0.404082075
24,89,18,76,16,76,16,89,18,0.829145729,0.894427558,0.817204301,0.429002563
25,71,14,96,18,96,18,71,14,0.83919598,0.916751788,0.857142857,0.387448847
26,77,21,85,16,85,16,77,21,0.814070352,0.904848854,0.821256039,0.419633748
27,93,18,71,17,71,17,93,18,0.824120603,0.911235955,0.802259887,0.40833523
28,87,17,80,15,80,15,87,17,0.83919598,0.933495048,0.833333333,0.36487485
29,86,16,83,14,83,14,86,16,0.849246231,0.940606061,0.846938776,0.340245514
30,85,13,85,16,85,16,85,13,0.854271357,0.934936351,0.854271357,0.360220006
31,74,20,85,20,85,20,74,20,0.798994975,0.898176292,0.80952381,0.421197142
32,94,18,74,13,74,13,94,18,0.844221106,0.921982934,0.826815642,0.383713636
33,95,13,79,12,79,12,95,13,0.874371859,0.951747257,0.863387978,0.315523654
34,83,15,90,11,90,11,83,15,0.869346734,0.943465046,0.873786408,0.336410394
35,81,19,87,12,87,12,81,19,0.844221106,0.926455671,0.848780488,0.360260383
36,81,8,96,14,96,14,81,8,0.889447236,0.966902834,0.897196262,0.292909448
37,97,16,77,9,77,9,97,16,0.874371859,0.955771962,0.860335196,0.303964941
38,85,9,95,10,95,10,85,9,0.904522613,0.967408907,0.909090909,0.279406407
39,79,13,93,14,93,14,79,13,0.864321608,0.936701156,0.873239437,0.34401539
40,106,12,72,9,72,9,106,12,0.894472362,0.961283644,0.872727273,0.290857768
41,88,14,86,11,86,11,88,14,0.874371859,0.961919192,0.873096447,0.288199782
42,84,9,96,10,96,10,84,9,0.904522613,0.967578521,0.909952607,0.265241491
43,98,10,84,7,84,7,98,10,0.914572864,0.967882472,0.908108108,0.269742156
44,80,11,94,14,94,14,80,11,0.874371859,0.937183384,0.882629108,0.322418382
45,87,8,100,4,100,4,87,8,0.939698492,0.976699227,0.943396226,0.251151952
46,96,12,82,9,82,9,96,12,0.894472362,0.966666667,0.886486486,0.263218274
47,81,10,101,7,101,7,81,10,0.914572864,0.963247338,0.922374429,0.26802438
48,93,9,89,8,89,8,93,9,0.914572864,0.978379471,0.912820513,0.223660623
49,87,7,93,12,93,12,87,7,0.904522613,0.959090909,0.907317073,0.272468527
50,76,13,100,10,100,10,76,13,0.884422111,0.959353776,0.896860987,0.272504435
51,95,5,92,7,92,7,95,5,0.939698492,0.985546796,0.93877551,0.197785036
52,80,10,94,15,94,15,80,10,0.874371859,0.948785425,0.882629108,0.282218956
53,89,10,90,10,90,10,89,10,0.899497487,0.960505051,0.9,0.276418309
54,94,7,86,12,86,12,94,7,0.904522613,0.972915399,0.90052356,0.242476577
55,96,8,89,6,89,6,96,8,0.929648241,0.982312513,0.927083333,0.207162772
56,95,11,81,12,81,12,95,11,0.884422111,0.957639171,0.875675676,0.269927026
57,95,11,81,12,81,12,95,11,0.884422111,0.963937424,0.875675676,0.266112923
58,91,7,89,12,89,12,91,7,0.904522613,0.976334951,0.903553299,0.237510044
59,91,5,98,5,98,5,91,5,0.949748744,0.985942557,0.951456311,0.201252701
60,95,10,90,4,90,4,95,10,0.929648241,0.991111111,0.927835052,0.186878173
61,98,5,86,10,86,10,98,5,0.924623116,0.968355718,0.919786096,0.231004488
62,84,4,103,8,103,8,84,4,0.939698492,0.975416497,0.944954128,0.212498659
63,88,3,98,10,98,10,88,3,0.934673367,0.981107294,0.937799043,0.195314674
64,96,8,86,9,86,9,96,8,0.914572864,0.965248227,0.91005291,0.238607587
65,96,6,89,8,89,8,96,6,0.929648241,0.987854251,0.927083333,0.189599087
66,78,4,108,9,108,9,78,4,0.934673367,0.97865353,0.943231441,0.198710476
67,95,5,95,4,95,4,95,5,0.954773869,0.987373737,0.954773869,0.159973443
68,97,6,90,6,90,6,97,6,0.939698492,0.983009709,0.9375,0.19918064
69,84,4,105,6,105,6,84,4,0.949748744,0.988685015,0.954545455,0.168431989
70,98,5,89,7,89,7,98,5,0.939698492,0.989766971,0.936842105,0.157721306
71,84,5,104,6,104,6,84,5,0.944723618,0.990417941,0.949771689,0.152811504
72,96,4,91,8,91,8,96,4,0.939698492,0.985425101,0.93814433,0.174365502
73,81,2,108,8,108,8,81,2,0.949748744,0.992747702,0.955752212,0.144931739
74,81,5,107,6,107,6,81,5,0.944723618,0.977524631,0.951111111,0.184065704
75,96,5,92,6,92,6,96,5,0.944723618,0.982514655,0.943589744,0.17255744
76,87,8,94,10,94,10,87,8,0.909547739,0.967758237,0.912621359,0.232621058
77,97,1,97,4,97,4,97,1,0.974874372,0.995150535,0.974874372,0.126789684
78,82,3,108,6,108,6,82,3,0.954773869,0.989250614,0.96,0.132648338
79,106,3,88,2,88,2,106,3,0.974874372,0.993691494,0.972375691,0.122885743
80,89,4,100,6,100,6,89,4,0.949748744,0.986032389,0.952380952,0.152045169
81,87,5,100,7,100,7,87,5,0.939698492,0.982674772,0.943396226,0.179428102
82,100,4,88,7,88,7,100,4,0.944723618,0.990044697,0.941176471,0.155970007
83,103,6,85,5,85,5,103,6,0.944723618,0.989316239,0.939226519,0.15680187
84,83,5,106,5,106,5,83,5,0.949748744,0.992936118,0.954954955,0.138951207
85,107,5,80,7,80,7,107,5,0.939698492,0.984726522,0.930232558,0.161331781
86,95,6,91,7,91,7,95,6,0.934673367,0.988477865,0.933333333,0.152662187
87,104,4,88,3,88,3,104,4,0.964824121,0.995936611,0.961748634,0.115693201
88,98,1,95,5,95,5,98,1,0.969849246,0.995145631,0.969387755,0.114355711
89,86,2,107,4,107,4,86,2,0.969849246,0.989398573,0.972727273,0.127158476
90,97,4,94,4,94,4,97,4,0.959798995,0.991311376,0.959183673,0.126776552
91,85,8,101,5,101,5,85,8,0.934673367,0.986544343,0.939534884,0.161805889
92,97,4,92,6,92,6,97,4,0.949748744,0.989987864,0.948453608,0.145994018
93,92,3,96,8,96,8,92,3,0.944723618,0.984848485,0.945812808,0.16389853
94,91,7,96,5,96,5,91,7,0.939698492,0.984324434,0.941176471,0.172502207
95,96,3,95,5,95,5,96,3,0.959798995,0.983936149,0.95959596,0.147339762
96,100,2,91,6,91,6,100,2,0.959798995,0.992493406,0.957894737,0.124733783
97,96,1,99,3,99,3,96,1,0.979899497,0.998181818,0.98019802,0.095327823
98,99,2,96,2,96,2,99,2,0.979899497,0.998383512,0.979591837,0.082469447
99,99,2,93,5,93,5,99,2,0.964824121,0.993623482,0.96373057,0.114166892
100,94,1,101,3,101,3,94,1,0.979899497,0.996967859,0.980582524,0.087558386
101,85,2,108,4,108,4,85,2,0.969849246,0.995301328,0.972972973,0.101818835
102,83,7,100,9,100,9,83,7,0.91959799,0.982121089,0.925925926,0.177445017
103,97,2,96,4,96,4,97,2,0.969849246,0.99605981,0.96969697,0.107934926
104,95,2,100,2,100,2,95,2,0.979899497,0.996866788,0.980392157,0.092640554
105,93,1,101,4,101,4,93,1,0.974874372,0.997271073,0.975845411,0.09178279
106,90,6,101,2,101,2,90,6,0.959798995,0.996038196,0.961904762,0.105726615
107,96,3,95,5,95,5,96,3,0.959798995,0.993938169,0.95959596,0.112786777
108,96,5,94,4,94,4,96,5,0.954773869,0.988484848,0.954314721,0.142534596
109,93,4,97,5,97,5,93,4,0.954773869,0.989896949,0.955665025,0.121057884
110,84,1,113,1,113,1,84,1,0.989949749,0.998968008,0.99122807,0.077072762
111,95,6,91,7,91,7,95,6,0.934673367,0.989286436,0.933333333,0.145343249
112,96,5,92,6,92,6,96,5,0.944723618,0.992015363,0.943589744,0.12928788
113,99,4,93,3,93,3,99,4,0.964824121,0.996866788,0.96373057,0.097040437
114,90,5,100,4,100,4,90,5,0.954773869,0.997264438,0.956937799,0.090450905
115,99,2,95,3,95,3,99,2,0.974874372,0.997068931,0.974358974,0.090676295
116,78,2,117,2,117,2,78,2,0.979899497,0.992016807,0.983193277,0.096324563
117,96,6,94,3,94,3,96,6,0.954773869,0.993939394,0.954314721,0.112019215
118,87,5,101,6,101,6,87,5,0.944723618,0.991783323,0.948356808,0.121851948
119,103,0,95,1,95,1,103,0,0.994974874,0.998178138,0.994764398,0.062657054
120,111,0,87,1,87,1,111,0,0.994974874,0.998563218,0.994285714,0.068006585
121,91,3,99,6,99,6,91,3,0.954773869,0.992217506,0.956521739,0.115941891
122,112,0,86,1,86,1,112,0,0.994974874,0.999897098,0.994219653,0.057036503
123,103,2,91,3,91,3,103,2,0.974874372,0.99340637,0.973262032,0.10808902
124,100,1,95,3,95,3,100,1,0.979899497,0.996359223,0.979381443,0.090889028
125,111,2,84,2,84,2,111,2,0.979899497,0.999382589,0.976744186,0.049636402
126,93,2,102,2,102,2,93,2,0.979899497,0.996862348,0.980769231,0.077031503
127,98,5,90,6,90,6,98,5,0.944723618,0.991295547,0.942408377,0.125982518
128,87,5,102,5,102,5,87,5,0.949748744,0.994819179,0.953271028,0.113290218
129,94,3,100,2,100,2,94,3,0.974874372,0.999089806,0.975609756,0.07461439
130,94,1,100,4,100,4,94,1,0.974874372,0.994948474,0.975609756,0.090021113
131,91,3,100,5,100,5,91,3,0.959798995,0.991504854,0.961538462,0.105011392
132,99,1,97,2,97,2,99,1,0.984924623,0.999696908,0.984771574,0.071405083
133,101,2,94,2,94,2,101,2,0.979899497,0.999089806,0.979166667,0.067304312
134,91,2,103,3,103,3,91,2,0.974874372,0.995440729,0.976303318,0.083870343
135,103,3,92,1,92,1,103,3,0.979899497,0.999089069,0.978723404,0.066073137
136,80,3,112,4,112,4,80,3,0.964824121,0.996687371,0.96969697,0.082451107
137,98,1,98,2,98,2,98,1,0.984924623,0.99959596,0.984924623,0.053841845
138,100,2,93,4,93,4,100,2,0.969849246,0.995546559,0.96875,0.088630421
139,98,1,99,1,99,1,98,1,0.989949749,0.99969697,0.99,0.055102828
140,93,1,104,1,104,1,93,1,0.989949749,0.999088146,0.99047619,0.057605087
141,99,0,99,1,99,1,99,0,0.994974874,0.99979798,0.994974874,0.051366586
142,104,4,87,4,87,4,104,4,0.959798995,0.996235246,0.956043956,0.095365467
143,88,2,106,3,106,3,88,2,0.974874372,0.996133496,0.976958525,0.083209046
144,95,0,102,2,102,2,95,0,0.989949749,0.995350718,0.990291262,0.060077448
145,96,2,97,4,97,4,96,2,0.969849246,0.997272727,0.97,0.073930951
146,101,2,94,2,94,2,101,2,0.979899497,0.997269417,0.979166667,0.069029835
147,100,2,96,1,96,1,100,2,0.984924623,0.998484542,0.984615385,0.059626467
148,85,1,109,4,109,4,85,1,0.974874372,0.997242084,0.977578475,0.080503105
149,93,1,105,0,105,0,93,1,0.994974874,0.998072631,0.995260664,0.063801699
150,95,1,101,2,101,2,95,1,0.984924623,0.99848393,0.985365854,0.050450501
151,94,5,97,3,97,3,94,5,0.959798995,0.996361431,0.96039604,0.083826585
152,108,7,81,3,81,3,108,7,0.949748744,0.993345618,0.941860465,0.108405488
153,106,1,91,1,91,1,106,1,0.989949749,0.999898415,0.989130435,0.039776589
154,108,1,90,0,90,0,108,1,0.994974874,1,0.994475138,0.032393996
155,83,1,112,3,112,3,83,1,0.979899497,0.998044865,0.98245614,0.061264656
156,98,9,84,8,84,8,98,9,0.914572864,0.975147089,0.908108108,0.200439733
157,88,0,109,2,109,2,88,0,0.989949749,0.99969419,0.990909091,0.051373519
158,92,1,106,0,106,0,92,1,0.994974874,0.999898415,0.995305164,0.03764466
159,101,4,91,3,91,3,101,4,0.964824121,0.99159919,0.962962963,0.110880472
160,107,0,92,0,92,0,107,0,1,1,1,0.030126873
161,109,0,90,0,90,0,109,0,1,1,1,0.023692617
162,100,3,93,3,93,3,100,3,0.969849246,0.995550162,0.96875,0.08174653
163,94,2,98,5,98,5,94,2,0.964824121,0.996363636,0.965517241,0.092895807
164,105,0,92,2,92,2,105,0,0.989949749,1,0.989247312,0.034597267
165,104,0,95,0,95,0,104,0,1,1,1,0.021313467
166,99,0,99,1,99,1,99,0,0.994974874,0.99989899,0.994974874,0.024446272
167,106,2,90,1,90,1,106,2,0.984924623,0.999593661,0.983606557,0.040878729
168,95,2,98,4,98,4,95,2,0.969849246,0.998383838,0.97029703,0.066127481
169,97,2,99,1,99,1,97,2,0.984924623,0.999090725,0.985074627,0.049295889
170,100,0,99,0,99,0,100,0,1,1,1,0.025267833
171,105,3,88,3,88,3,105,3,0.969849246,0.997863248,0.967032967,0.065489294
172,95,4,96,4,96,4,95,4,0.959798995,0.995858586,0.96,0.091459218
173,102,3,91,3,91,3,102,3,0.969849246,0.994427558,0.968085106,0.100840817
174,113,0,86,0,86,0,113,0,1,1,1,0.03890339
175,95,0,102,2,102,2,95,0,0.989949749,0.999393572,0.990291262,0.046065617
176,105,1,91,2,91,2,105,1,0.984924623,0.999593661,0.983783784,0.039908529
177,106,1,91,1,91,1,106,1,0.989949749,0.999593661,0.989130435,0.036899834
178,84,2,109,4,109,4,84,2,0.969849246,0.998464373,0.973214286,0.065338263
179,102,1,95,1,95,1,102,1,0.989949749,0.998685275,0.989583333,0.051323852
180,96,2,99,2,99,2,96,2,0.979899497,0.998282481,0.98019802,0.066512569
