epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,15,4,6,25,6,25,15,4,0.42,0.51,0.292682927,0.700292455
3,31,6,4,9,4,9,31,6,0.7,0.485,0.347826087,0.676816428
4,33,8,2,7,2,7,33,8,0.7,0.53,0.210526316,0.661329391
5,33,8,2,7,2,7,33,8,0.7,0.5575,0.210526316,0.651662133
6,33,8,2,7,2,7,33,8,0.7,0.5625,0.210526316,0.641662255
7,32,7,3,8,3,8,32,7,0.7,0.57,0.285714286,0.633850052
8,32,7,3,8,3,8,32,7,0.7,0.5925,0.285714286,0.627213732
9,33,6,4,7,4,7,33,6,0.74,0.605,0.380952381,0.619767019
10,30,6,4,10,4,10,30,6,0.68,0.615,0.333333333,0.614401235
11,30,6,4,10,4,10,30,6,0.68,0.6275,0.333333333,0.608282564
12,30,6,4,10,4,10,30,6,0.68,0.63,0.333333333,0.604398701
13,29,6,4,11,4,11,29,6,0.66,0.6375,0.32,0.599821881
14,29,6,4,11,4,11,29,6,0.66,0.635,0.32,0.596889875
15,29,6,4,11,4,11,29,6,0.66,0.635,0.32,0.594009937
16,29,6,4,11,4,11,29,6,0.66,0.64,0.32,0.589349128
17,29,6,4,11,4,11,29,6,0.66,0.6475,0.32,0.586209077
18,29,6,4,11,4,11,29,6,0.66,0.64,0.32,0.583807456
19,29,6,4,11,4,11,29,6,0.66,0.635,0.32,0.581309946
20,29,6,4,11,4,11,29,6,0.66,0.63,0.32,0.580335383
21,29,6,4,11,4,11,29,6,0.66,0.64,0.32,0.578346901
22,29,6,4,11,4,11,29,6,0.66,0.65,0.32,0.577072679
23,29,5,5,11,5,11,29,5,0.68,0.655,0.384615385,0.575442567
24,29,5,5,11,5,11,29,5,0.68,0.655,0.384615385,0.574661917
25,30,5,5,10,5,10,30,5,0.7,0.6575,0.4,0.57303422
26,30,5,5,10,5,10,30,5,0.7,0.655,0.4,0.571449049
27,30,5,5,10,5,10,30,5,0.7,0.6575,0.4,0.570573374
28,30,5,5,10,5,10,30,5,0.7,0.655,0.4,0.567311259
29,30,5,5,10,5,10,30,5,0.7,0.655,0.4,0.564278667
30,30,5,5,10,5,10,30,5,0.7,0.6575,0.4,0.562707521
31,30,5,5,10,5,10,30,5,0.7,0.66,0.4,0.561146502
32,30,6,4,10,4,10,30,6,0.68,0.6625,0.333333333,0.560726623
33,30,6,4,10,4,10,30,6,0.68,0.665,0.333333333,0.559043229
34,30,6,4,10,4,10,30,6,0.68,0.665,0.333333333,0.556896096
35,30,6,4,10,4,10,30,6,0.68,0.6675,0.333333333,0.556151584
36,30,6,4,10,4,10,30,6,0.68,0.6675,0.333333333,0.555706097
37,30,6,4,10,4,10,30,6,0.68,0.675,0.333333333,0.55538875
38,30,6,4,10,4,10,30,6,0.68,0.6775,0.333333333,0.55384401
39,31,6,4,9,4,9,31,6,0.7,0.6775,0.347826087,0.552998203
40,31,6,4,9,4,9,31,6,0.7,0.6775,0.347826087,0.553118547
41,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.5513562
42,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.551123575
43,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.551256777
44,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.551458984
45,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.551652573
46,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.552098574
47,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.551964493
48,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.553385218
49,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.553698755
50,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.554219353
51,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554664556
52,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554889579
53,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554787513
54,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554797757
55,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554538607
56,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.554185828
57,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.553974556
58,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.553214766
59,31,7,3,9,3,9,31,7,0.68,0.685,0.272727273,0.553252088
60,31,7,3,9,3,9,31,7,0.68,0.6825,0.272727273,0.553399529
61,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.553540074
62,31,7,3,9,3,9,31,7,0.68,0.68,0.272727273,0.553288475
63,32,7,3,8,3,8,32,7,0.7,0.6775,0.285714286,0.553584432
64,32,7,3,8,3,8,32,7,0.7,0.6775,0.285714286,0.553402069
65,32,7,3,8,3,8,32,7,0.7,0.68,0.285714286,0.553528027
66,32,7,3,8,3,8,32,7,0.7,0.68,0.285714286,0.553565758
67,32,7,3,8,3,8,32,7,0.7,0.68,0.285714286,0.553931032
68,32,7,3,8,3,8,32,7,0.7,0.6775,0.285714286,0.553948049
69,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.553290136
70,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.553711682
71,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.553881663
72,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.554321694
73,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.55443611
74,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.55457431
75,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.554771785
76,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.554959783
77,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.554983965
78,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.555129314
79,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.556060306
80,33,7,3,7,3,7,33,7,0.72,0.6825,0.3,0.556171808
81,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.557015092
82,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.558658122
83,33,7,3,7,3,7,33,7,0.72,0.675,0.3,0.558838369
84,33,7,3,7,3,7,33,7,0.72,0.675,0.3,0.559110066
85,33,7,3,7,3,7,33,7,0.72,0.675,0.3,0.560346488
86,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.560377771
87,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.560405791
88,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.560619458
89,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.560741428
90,33,7,3,7,3,7,33,7,0.72,0.68,0.3,0.561535116
91,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.561974007
92,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.562996083
93,33,7,3,7,3,7,33,7,0.72,0.6725,0.3,0.563560095
94,33,7,3,7,3,7,33,7,0.72,0.67,0.3,0.564054204
95,33,7,3,7,3,7,33,7,0.72,0.67,0.3,0.563948872
96,33,7,3,7,3,7,33,7,0.72,0.6725,0.3,0.564795078
97,33,7,3,7,3,7,33,7,0.72,0.6725,0.3,0.565034634
98,33,7,3,7,3,7,33,7,0.72,0.6775,0.3,0.565384184
99,33,7,3,7,3,7,33,7,0.72,0.6725,0.3,0.56589077
100,33,7,3,7,3,7,33,7,0.72,0.6725,0.3,0.566534057
101,33,7,3,7,3,7,33,7,0.72,0.67,0.3,0.567023302
102,33,7,3,7,3,7,33,7,0.72,0.6675,0.3,0.567137204
103,33,7,3,7,3,7,33,7,0.72,0.6675,0.3,0.568170404
104,33,7,3,7,3,7,33,7,0.72,0.6675,0.3,0.568755153
105,33,7,3,7,3,7,33,7,0.72,0.6625,0.3,0.569084782
106,33,7,3,7,3,7,33,7,0.72,0.6625,0.3,0.570337386
107,33,7,3,7,3,7,33,7,0.72,0.665,0.3,0.571264168
108,33,7,3,7,3,7,33,7,0.72,0.66,0.3,0.572417847
109,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.574068466
110,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.575203483
111,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.577146909
112,33,7,3,7,3,7,33,7,0.72,0.66,0.3,0.578245691
113,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.578710901
114,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.579608374
115,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.580423687
116,33,7,3,7,3,7,33,7,0.72,0.655,0.3,0.581702005
117,33,7,3,7,3,7,33,7,0.72,0.655,0.3,0.583029516
118,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.58410542
119,33,7,3,7,3,7,33,7,0.72,0.6575,0.3,0.585825527
120,33,7,3,7,3,7,33,7,0.72,0.655,0.3,0.586644715
121,33,7,3,7,3,7,33,7,0.72,0.66,0.3,0.587416102
122,33,7,3,7,3,7,33,7,0.72,0.655,0.3,0.588261612
123,33,7,3,7,3,7,33,7,0.72,0.6525,0.3,0.589183501
124,33,7,3,7,3,7,33,7,0.72,0.6475,0.3,0.589117976
125,33,7,3,7,3,7,33,7,0.72,0.645,0.3,0.588068009
126,33,7,3,7,3,7,33,7,0.72,0.645,0.3,0.587399022
127,33,7,3,7,3,7,33,7,0.72,0.645,0.3,0.58771631
128,33,7,3,7,3,7,33,7,0.72,0.645,0.3,0.587775443
129,33,7,3,7,3,7,33,7,0.72,0.645,0.3,0.589312338
130,34,7,3,6,3,6,34,7,0.74,0.65,0.315789474,0.589389856
131,34,7,3,6,3,6,34,7,0.74,0.6525,0.315789474,0.589350677
132,34,7,3,6,3,6,34,7,0.74,0.6575,0.315789474,0.590387263
133,34,7,3,6,3,6,34,7,0.74,0.65,0.315789474,0.591394691
134,34,7,3,6,3,6,34,7,0.74,0.6525,0.315789474,0.592936917
135,34,7,3,6,3,6,34,7,0.74,0.6525,0.315789474,0.593248359
136,35,7,3,5,3,5,35,7,0.76,0.645,0.333333333,0.594090139
137,35,7,3,5,3,5,35,7,0.76,0.65,0.333333333,0.594576408
138,35,7,3,5,3,5,35,7,0.76,0.6475,0.333333333,0.595298173
139,36,7,3,4,3,4,36,7,0.78,0.6475,0.352941176,0.596134248
140,36,7,3,4,3,4,36,7,0.78,0.6475,0.352941176,0.596536868
141,36,7,3,4,3,4,36,7,0.78,0.645,0.352941176,0.597036147
142,36,7,3,4,3,4,36,7,0.78,0.6425,0.352941176,0.597932083
143,36,7,3,4,3,4,36,7,0.78,0.64,0.352941176,0.59782616
144,36,7,3,4,3,4,36,7,0.78,0.6425,0.352941176,0.598696282
145,36,7,3,4,3,4,36,7,0.78,0.635,0.352941176,0.598405361
146,36,7,3,4,3,4,36,7,0.78,0.635,0.352941176,0.598361386
147,37,7,3,3,3,3,37,7,0.8,0.635,0.375,0.598693553
148,37,7,3,3,3,3,37,7,0.8,0.635,0.375,0.599041314
149,37,7,3,3,3,3,37,7,0.8,0.6325,0.375,0.599210046
150,37,7,3,3,3,3,37,7,0.8,0.63,0.375,0.599734533
151,37,7,3,3,3,3,37,7,0.8,0.63,0.375,0.599632911
152,37,7,3,3,3,3,37,7,0.8,0.63,0.375,0.59893724
153,37,7,3,3,3,3,37,7,0.8,0.63,0.375,0.600291282
154,37,7,3,3,3,3,37,7,0.8,0.6275,0.375,0.600875857
155,37,7,3,3,3,3,37,7,0.8,0.6275,0.375,0.601041083
156,37,7,3,3,3,3,37,7,0.8,0.625,0.375,0.601740016
157,38,7,3,2,3,2,38,7,0.82,0.6175,0.4,0.601503576
158,38,7,3,2,3,2,38,7,0.82,0.6175,0.4,0.602438736
159,38,7,3,2,3,2,38,7,0.82,0.615,0.4,0.603562723
160,38,7,3,2,3,2,38,7,0.82,0.61,0.4,0.603981118
161,38,7,3,2,3,2,38,7,0.82,0.61,0.4,0.603979145
162,38,7,3,2,3,2,38,7,0.82,0.61,0.4,0.604188104
163,38,7,3,2,3,2,38,7,0.82,0.61,0.4,0.605191433
164,38,7,3,2,3,2,38,7,0.82,0.6075,0.4,0.606304648
165,38,7,3,2,3,2,38,7,0.82,0.605,0.4,0.607046339
166,38,7,3,2,3,2,38,7,0.82,0.605,0.4,0.607351025
167,38,7,3,2,3,2,38,7,0.82,0.605,0.4,0.607690192
168,38,7,3,2,3,2,38,7,0.82,0.6075,0.4,0.607823174
169,38,7,3,2,3,2,38,7,0.82,0.6075,0.4,0.608752979
170,38,7,3,2,3,2,38,7,0.82,0.6075,0.4,0.609457695
171,38,7,3,2,3,2,38,7,0.82,0.61,0.4,0.609744075
172,38,7,3,2,3,2,38,7,0.82,0.605,0.4,0.609423925
173,38,7,3,2,3,2,38,7,0.82,0.6025,0.4,0.609352543
174,38,8,2,2,2,2,38,8,0.8,0.605,0.285714286,0.609946053
175,38,8,2,2,2,2,38,8,0.8,0.605,0.285714286,0.610689656
176,38,8,2,2,2,2,38,8,0.8,0.605,0.285714286,0.611995923
177,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.611809332
178,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.61221616
179,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.612927159
180,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.612896394
181,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.613105548
182,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.613105113
183,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.613122843
184,38,8,2,2,2,2,38,8,0.8,0.6025,0.285714286,0.614288165
185,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.614969287
186,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.615685591
187,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.616037869
188,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.616874327
189,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.618620979
190,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.619098495
191,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.619159488
192,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.61908195
193,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.619356714
194,38,8,2,2,2,2,38,8,0.8,0.6,0.285714286,0.619252411
195,38,8,2,2,2,2,38,8,0.8,0.5975,0.285714286,0.619348619
