,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,9
9,10
10,11
11,12
12,13
13,14
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,35
30,39
31,40
32,41
33,42
34,43
35,50
36,51
37,52
38,53
39,54
40,55
41,59
42,60
43,62
44,63
45,66
46,68
47,69
48,72
49,77
50,78
51,79
52,84
53,85
54,90
55,91
56,94
57,95
58,96
59,97
60,98
61,100
62,101
63,102
64,103
65,104
66,105
67,106
68,107
69,108
70,109
71,110
72,116
73,117
74,118
75,119
76,120
77,123
78,124
79,125
80,126
81,127
82,130
83,133
84,134
85,135
86,138
87,140
88,141
89,142
90,146
91,147
92,148
93,149
94,150
95,151
96,152
97,153
98,154
99,155
100,156
101,157
102,158
103,159
104,160
105,161
106,162
107,163
108,164
109,165
110,166
111,167
112,168
113,169
114,170
115,171
116,172
117,173
118,174
119,175
120,176
121,177
122,178
123,181
124,182
125,183
126,184
127,185
128,188
129,191
130,192
131,193
132,195
133,196
134,197
135,198
136,199
137,200
138,201
139,202
140,203
141,204
142,205
143,206
144,207
145,208
146,209
147,210
148,211
149,212
150,213
151,214
152,216
153,217
154,218
155,219
156,220
157,225
158,228
159,229
160,230
161,231
162,232
163,233
164,234
165,235
166,236
167,237
168,238
169,241
170,242
171,243
172,246
173,247
174,248
175,251
176,252
177,253
178,254
179,255
180,256
181,257
182,258
183,259
184,260
185,261
186,262
187,263
188,267
189,268
190,269
191,270
192,271
193,272
194,279
195,280
196,283
197,284
198,285
199,286
200,287
201,288
202,289
203,290
204,291
205,292
206,293
207,294
208,295
209,296
210,297
211,298
212,299
213,300
214,301
215,302
216,309
217,310
218,313
219,314
220,317
221,318
222,319
223,321
224,322
225,323
226,324
227,325
228,326
229,329
230,330
231,331
232,332
233,335
234,336
235,337
236,338
237,339
238,340
239,341
240,342
241,343
242,344
243,345
244,346
245,347
246,348
247,349
248,350
249,351
250,352
251,353
252,354
253,355
254,356
255,357
256,360
257,361
258,362
259,363
260,364
261,365
262,366
263,367
264,372
265,373
266,374
267,375
268,376
269,377
270,380
271,381
272,382
273,383
274,384
275,385
276,386
277,387
278,388
279,389
